,年化收益率,年化波动率,年化夏普,年化索提诺,最大回撤,卡玛比率,期末净值,年化换手率(%)
CSN-HMC,0.027207131702976443,0.06050277905528469,0.03647984004801774,0.06071613265295034,-0.11379964362655492,0.23907923466139672,1.0791487128763821,91.84016722044103
MV,0.20930426585064954,0.26688809904107547,0.690567569336697,1.1823692605880651,-0.2989604440731618,0.7001068870483362,1.69430726649667,1304.0405759128998
EW,0.023779517250063182,0.06056764568654498,-0.020150737836720372,-0.03337854333512711,-0.1097041888624023,0.21676033975228517,1.067642012018677,0.0
