,年化收益率,年化波动率,年化夏普,年化索提诺,最大回撤,卡玛比率,期末净值,年化换手率(%)
CSN-HMC,0.051348675182788045,0.20441364238762302,0.12889880965370057,0.23594892233203474,-0.24922859854854884,0.20603042942034402,1.0848614979472202,321.73003734102616
MV,0.08774560802929811,0.32306981980312355,0.1942168663865035,0.3543685745821472,-0.3799737573535088,0.23092544243170965,1.1029575883185443,1783.9580633102955
EW,0.04351443108590247,0.18841717743218322,0.09826296804072693,0.17902309522292648,-0.22246876417462624,0.19559793594999225,1.0708198901509236,0.0
