,sh600519,sh600036,sh601318,sh601166,sh600030,sh601328,sh600887,sh600000,sh601601,sh600048,sh600028,sh600309,sh601186,sh600031,sh601012,sh601628,sh601088,sh600585,sh600690,sh601888,sh600276,sh601766
2022-04-12,0.03604651162790695,-0.004357298474945481,0.01784964300713998,-0.0009195402298850519,0.030776746458231585,0.003883495145631022,0.025465498357064575,0.012484394506866447,0.010624169986719778,-0.043502509760178554,0.0023041474654377225,-0.013829063704375422,-0.0047225501770957745,0.00859291084854985,0.015800668489820868,0.02529256323140805,-0.011182108626198173,-0.0009876543209876854,0.03946784922394686,0.09999359426045729,0.026524390243902518,0.014814814814814836
2022-04-13,-0.007295173961840651,0.001094091903719896,-0.013410356921807254,-0.00046019328117818947,-0.018957345971564066,0.0019342359767891004,0.006141522029372348,-0.0012330456226880004,-0.0030661410424878133,0.03673469387755124,0.0,-0.0045977011494253706,-0.02016607354685651,-0.03301384451544198,-0.0025426263834879004,-0.011045655375552355,0.03360258481421652,-0.020019772614928377,0.018344709897610834,0.0016305613789890927,-0.0008910008910009148,-0.04014598540145997
2022-04-14,0.022611644997173608,0.00021857923497270448,0.007737348389795118,-0.0018416206261510082,0.01304347826086949,-0.005791505791505669,0.027070063694267565,0.0012345679012344402,0.002196836555360182,0.06467941507311581,0.009195402298850519,0.0,0.002421307506053294,0.032488986784140916,0.005098215624531388,0.003350707371556183,0.00906533291653644,0.016393442622950838,0.04105571847507328,0.055697674418604626,0.005350772889417321,0.005703422053231932
2022-04-15,-0.0016639027086787772,0.02338286713286708,0.002282631251296907,0.026752767527675303,-0.0042918454935622075,0.0,-0.0023255813953488857,0.004932182490752224,0.0048224462954846725,0.020602218700475516,-0.009111617312072884,-0.022517321016166103,-0.007246376811594013,-0.017066666666666674,-0.009398776667163933,-0.0007421150278292821,-0.038723667905824044,-0.008933002481389618,-0.008048289738430747,0.0036347615376142173,0.007983441750443632,-0.005671077504725952
2022-04-18,-0.008399825026716656,-0.07345718556480885,-0.026915113871635588,-0.02605570530098844,-0.028256704980842873,-0.01553398058252431,-0.007252007252007253,-0.014723926380368235,-0.02617801047120427,-0.04813664596273293,-0.013793103448275779,-0.010159480212640237,-0.02676399026763998,-0.022788931090613085,0.04216867469879504,-0.027849981433345716,-0.034160489848533704,-0.008262393590385497,-0.019066937119675442,-0.007462686567164201,-0.003813435024934031,-0.0076045627376425395
2022-04-19,-0.0002903697747400624,-0.02973035261581003,-0.01191489361702136,-0.01060885608856088,-0.003449975357318835,0.015779092702169706,-0.0046960605270023326,0.013698630136986356,-0.015681003584229414,-0.0005437737901033968,0.01631701631701632,-0.014918248000954759,0.013749999999999929,-0.018323153803442627,-0.0014450867052023808,-0.008785332314744099,0.027694361027694514,-0.018177227972734133,-0.011166253101736912,-0.012439186200796093,-0.025029446407538347,0.003831417624521105
2022-04-20,0.003742389543651914,-0.02375296912114011,-0.01141257536606377,-0.008857808857808736,-0.015331355093966326,-0.009708737864077777,0.01782437745740495,-0.0036855036855037993,-0.007282658170232104,-0.05168661588683343,-0.013761467889908396,-0.026774897019626986,-0.03575832305795301,-0.016968325791855254,-0.0332850940665701,-0.01348747591522148,-0.04025974025974033,-0.022627924916431064,0.02342116269343375,0.020321334602250385,0.036544850498339,-0.009541984732824416
2022-04-21,-0.009471341124095756,0.004379562043795637,0.006752341537791473,-0.006114769520225938,-0.0035158211953791874,-0.0019607843137254832,-0.010301313417460656,-0.004932182490752002,0.00687757909215958,0.004589787722317995,-0.013953488372092981,-0.0041080542761110506,-0.024296675191815886,-0.03797468354430378,-0.06317365269461073,0.010937499999999822,-0.011502029769959399,-0.01604840831360166,-0.017572537801389454,-0.038955338527378425,-0.03350815850815847,-0.015414258188824692
2022-04-22,-0.003921392375195287,0.029554263565891414,0.005192557334487313,0.013724562233790927,0.002016129032258007,0.017681728880157177,-0.002081706999739752,0.0024783147459725985,0.011839708561020013,0.015419760137064475,0.021226415094339535,-0.002375000000000016,0.0183486238532109,0.0071770334928229484,-0.009268136784915226,0.02395672333848542,0.016084873374401232,0.024598930481283476,0.02329450915141451,0.0103905001141813,-0.0051251130539644585,0.011741682974559575
2022-04-25,-0.036661026508742256,-0.08635294117647063,-0.034653465346534684,-0.053221288515406195,-0.032696177062374154,-0.025096525096525046,-0.026597131681877495,-0.03337453646477129,-0.06345634563456348,-0.04443194600674927,-0.03233256351039249,-0.05375266257361244,-0.030888030888030826,-0.09026128266033251,-0.08693548387096772,-0.04528301886792452,-0.033344560458066774,-0.032098121085594955,-0.03373983739837405,-0.0197197423437675,-0.09999999999999998,-0.03481624758220503
2022-04-26,0.014332552693208545,-0.010816379088333772,-0.028093645484949747,0.006903353057199135,-0.046801872074883066,-0.001980198019801982,0.014465577283685915,0.006393861892583175,-0.024026910139356095,0.03413772807533855,-0.009546539379474916,0.02356991525423724,0.025232403718459473,-0.04634464751958234,0.00989224518636278,-0.022529644268774685,-0.008013937282229988,0.0153680237260716,-0.0025241901556583013,0.03763905700616754,-0.06599326599326605,-0.02605210420841686
2022-04-27,0.036040820096047366,-0.00963290809684969,0.007341133287451118,0.005876591576885248,0.026186579378068675,0.001984126984126977,0.02983892263005017,-0.0050825921219822545,0.003446578040374293,-0.044963005122367616,0.016867469879517927,0.019146183699870756,0.03756476683937815,0.0691307323750856,0.07224068567430453,0.011726647796198808,0.017562346329469625,0.048592671269251264,0.003374103753690294,0.022053105210532165,0.011535688536409516,0.016460905349794164
2022-04-28,0.022329686002718674,0.04153522607781279,-0.0056934639034388335,0.024829600778967897,-0.0021265284423178654,0.005940594059405946,-0.02410256410256406,0.020434227330779153,0.001962708537782243,0.06078665077473189,0.02369668246445511,0.015105356689515181,0.03745318352059934,0.010243277848911658,0.05350734094616638,-0.02078337330135893,0.07732136693130842,0.015446948594580956,0.031105506515342718,-0.013098537964019719,0.013898788310762633,0.002024291497975561
2022-04-29,-0.0036076294277928023,0.007824331145885877,0.02061383417315632,-0.027078384798099764,0.04901438465636665,0.0,0.01077246452968983,0.005006257822277815,0.0186092066601371,0.01797752808988773,0.004629629629629539,-0.026509941227960576,0.013237063778579916,0.04562737642585546,0.05233818519665534,0.038775510204081653,-0.013777635373277808,-0.003491271820448838,0.05625764370158981,0.002257957924881593,0.03620386643233742,0.02020202020202011
2022-05-05,0.004714556055086971,-0.0167793638868019,0.01032315978456011,-0.003906250000000111,-0.01574403250380918,-0.017716535433070835,0.006498570314530827,-0.004981320049813109,0.0,-0.03200883002207511,0.0023041474654377225,0.04932562620423897,0.004750593824228044,0.0060606060606061,0.01648028251912903,0.003929273084479323,-0.004873294346978585,0.010510510510510551,0.02238517946738705,-0.012363316665750856,0.006784260515603879,-0.003960396039603853
2022-05-06,-0.0239520958083832,-0.0343861436576669,-0.02132385606397158,-0.021568627450980316,-0.02992776057791524,-0.022044088176352727,-0.02453512396694202,-0.017521902377972576,-0.03557692307692317,-0.06556442417331809,-0.016091954022988353,-0.02680866691149464,-0.027186761229314516,-0.02349397590361446,-0.029675738274464347,-0.017612524461839474,-0.012732615083251742,-0.0359088657751363,-0.03548508871272171,-0.08929564927116951,-0.011455525606469008,-0.02385685884691846
2022-05-09,-0.02286670384829892,-0.037984700606700006,0.006581933726736322,-0.017034068136272507,-0.0037234042553191404,-0.002049180327868827,0.001853322742917607,-0.003821656050955302,0.026420737786640114,-0.007321537522879895,0.004672897196261516,-0.008805031446540879,0.018226002430133725,-0.016656384947563274,0.034312994181709744,0.019521912350597637,-0.02083333333333326,-0.005137426149499191,-0.012133072407045087,-0.02254261103305022,-0.0013633265167006803,0.004073319755600657
2022-05-10,0.008099315068493151,0.013984096517685618,0.0027057497181510737,0.019367991845056,0.014949279231180057,0.008213552361396204,0.031976744186046346,0.0038363171355497716,-0.004371053909664857,0.011063306699446773,0.0,-0.010659898477157426,0.021479713603818507,0.016311166875784266,-0.013125631039953789,-0.0015631105900741904,-0.0314083080040527,0.0007745933384972759,0.015055467511885912,0.03718749999999993,0.0030716723549488734,0.0040567951318459805
2022-05-11,0.001024804805825008,0.006219578150351568,0.00584663818304465,-0.010999999999999899,0.006312467122566945,0.0,-0.008962868117797562,0.001273885350318471,0.006341463414634152,-0.03768996960486315,-0.0023255813953487747,0.053232426885582385,-0.01869158878504673,0.0,0.04355451622332662,-0.005870841487279899,0.019525801952580135,-0.011093911248709953,-0.01795472287275568,0.06447725218439304,0.01905410003402519,0.004040404040403844
2022-05-12,-0.003014705882352864,-0.01612469766191893,-0.016320143080706395,-0.007583417593528874,-0.002090956612650241,-0.008146639511201648,0.0018087855297157507,0.0012722646310432406,0.010179350460494563,-0.014529374605180112,-0.004662004662004726,0.002922908293752302,-0.005952380952381042,-0.01790123456790116,-0.02268907563025213,-0.0059055118110236116,-0.020519835841313228,-0.010957474563005554,0.015898251192368873,-0.02660628361166162,0.002671118530884975,0.0
2022-05-13,0.008833190557506532,0.014750068287353146,-0.0009090909090908594,0.006113092205807469,0.010476689366160308,0.014373716632443578,-0.008253804488006167,0.02287166454891998,0.01679462571976975,0.06346153846153846,0.00936768149882905,-0.0043715846994535346,0.0023952095808381646,0.0056568196103079504,-0.0002866150759529562,0.0011881188118811892,0.07541899441340782,0.008177261936164637,0.006259780907668322,0.0061064262867114305,-0.0016650016650017196,0.010060362173038184
2022-05-16,-0.011382040669425941,-0.006998654104979796,-0.01364877161055511,-0.02075949367088603,-0.011404872991187087,0.006072874493926905,-0.0293888166449936,-0.00993788819875785,-0.022652194431335593,0.021097046413502296,0.0046403712296985145,-0.0023173557750945095,-0.009557945041816063,0.014999999999999902,-0.025229357798165264,-0.008702531645569667,0.006493506493506551,-0.0026164311878598134,-0.00233281493001547,0.00763005780346826,-0.018345563709139423,-0.005976095617529764
2022-05-17,0.005688282138794021,0.0463540254811603,0.01060885608856088,0.01292657704239919,0.013109596224436304,-0.006036217303822755,0.008038585209003246,0.006273525721455453,0.019797199420569678,0.0005903187721367775,0.004618937644341736,0.007701711491442609,-0.00603136308805774,0.005541871921182162,0.033970588235294086,0.0035913806863527853,0.013870967741935525,-0.003672612801678965,0.008573655494933607,0.0034419458467187525,0.0010193679918450993,-0.004008016032064243
2022-05-18,-0.0039592760180995334,-0.002590673575129543,-0.004335919671382915,-0.00867789688616627,0.010351966873705987,-0.010121457489878694,0.0023923444976077235,-0.00872817955112215,-0.01562500000000011,-0.010619469026548645,-0.00919540229885063,0.011524930243843157,-0.01941747572815533,-0.01408450704225328,0.006542454842838774,-0.013518886679920517,-0.008590518612790365,-0.018167456556082096,0.0015455950540959051,-0.02612622913331808,-0.0027155465037339566,-0.002012072434607548
2022-05-19,-0.0028392958546280544,-0.012207792207792223,-0.007792803117121272,-0.007209062821833201,-0.007684426229508157,0.002044989775051187,-0.020684168655529023,-0.005031446540880502,-0.012987012987012991,0.025044722719141488,-0.004640371229698292,-0.02374670184696559,0.033415841584158334,-0.011801242236024967,0.0621732372474213,-0.011688835147118048,-0.0060975609756097615,0.006704210244033337,-0.02430555555555569,-0.014969181097739814,-0.004424778761061954,0.002016129032258007
2022-05-20,0.02506264236902056,0.050749408361819626,0.023562023562023526,0.021265560165975028,0.019617965926690628,0.006122448979591688,0.020308692120227567,0.0164348925410871,0.030701754385964897,-0.008726003490401535,0.006993006993007089,0.03415233415233421,0.0023952095808381646,0.042740414833438045,0.02008780098443541,0.016313213703099683,0.0445592508879562,0.011454448588172683,0.031237643337287402,0.04737783075089386,0.03384615384615386,0.008048289738430636
2022-05-23,-0.010561052438597507,-0.011761761761761691,-0.009478672985781977,-0.00050787201625202,-0.0025316455696202667,0.0020283975659229903,-0.013269639065817462,-0.011194029850746134,-0.005200945626477549,-0.05575117370892013,-0.0023148148148149916,-0.012235685435970534,-0.021505376344086002,-0.011452682338758402,-0.010172143974960912,-0.004414125200642216,0.004018547140649087,-0.012378193310508268,-0.018404907975460016,-0.05109530583214783,-0.004629629629629539,0.001996007984031989
2022-05-24,-0.01179112857944975,-0.014940491263611078,-0.01708817498291182,-0.010162601626016232,-0.023350253807106647,-0.004048582995951455,-0.002151694459386677,-0.008805031446540879,-0.013783269961977096,0.005593536357986428,-0.006960556844547439,-0.013469633193024744,-0.026862026862026878,-0.026219512195121863,-0.032542819499341236,-0.013301088270858408,0.000923645320197064,-0.015466666666666629,-0.030078125000000067,-0.014211189062781071,-0.04950166112956822,-0.019920318725099584
2022-05-25,-0.0025511363636363527,-0.0030848329048842604,0.0020862308762168436,0.002566735112936369,0.0036382536382537634,0.0,0.0010781671159030282,0.0,0.004819277108433884,0.0024721878862792313,0.014018691588784993,0.003413385346824338,0.008782936010037545,0.018159048215403928,0.007490126651232387,-0.011437908496732097,0.019071055059981745,0.005417118093174356,0.007652033830044314,0.007603406326033957,0.011184900384481056,0.004065040650406582
2022-05-26,-0.007240061292729805,-0.009025270758122761,-0.0018505667360628753,0.0,0.01605385810460902,0.004065040650406582,0.006192784060312206,0.002538071065989911,0.01870503597122286,0.012946979038224393,0.009216589861751112,0.009597861742194125,0.008706467661691475,0.051045510455104415,0.015139226818058793,0.004132231404958775,0.006036824630244464,0.0153556034482758,-0.0011990407673860837,-0.015695744038635606,0.0038022813688212143,0.014170040485829816
2022-05-27,0.007092035804452612,0.01795472287275568,0.00880648899188885,0.00972862263184826,-0.0005096839959226607,0.006072874493926905,0.005887075194006108,0.012658227848101111,0.0028248587570622874,-0.0073037127206330155,0.006849315068493178,0.004933814681107318,0.004932182490752224,-0.0064365125804564105,0.00026631158455403536,0.004526748971193317,0.03480348034803482,-0.01247015123374895,0.005202080832332978,0.011652867218644447,0.025482093663911964,0.009980039920159722
2022-05-30,0.013246655575560151,-0.001278118609406853,0.014243050769584098,-0.00963488843813376,-0.0056093829678735,-0.012072434607645843,0.0021282255919126136,-0.015000000000000013,-0.010328638497652642,-0.02759043531575711,-0.0022675736961450532,0.02191354328822892,-0.014723926380368235,-0.011189634864546605,0.015841320553780625,0.002048340843916474,-0.015366772977674747,-0.0037614185921547305,0.007563694267515908,0.042740224310397146,-0.002350570852921452,-0.005928853754940566
2022-05-31,0.014406126821149057,0.015868953160993016,0.0011325028312572094,0.006144393241167334,0.014871794871794908,0.0,0.008760286700292053,0.0076142131979695105,0.008064516129032251,-0.022068095838587598,0.013636363636363447,-0.014295758143894943,-0.011207970112079524,0.009529481834425368,0.03787183855326948,0.015944399018806177,0.0,-0.006742179072276144,0.00316080600553148,0.027325581395348797,0.0205318074722316,0.005964214711729587
2022-06-01,-0.008747082919907112,0.0,-0.0006787330316742057,-0.004580152671755711,-0.009095502779181364,0.0020366598778003286,-0.0368421052631579,-0.0037783375314861534,-0.0056470588235294494,0.01547388781431347,-0.013452914798206206,-0.009510223490252101,-0.006297229219143663,-0.008849557522123797,-0.0063131313131312705,-0.002012072434607659,-0.005005889281507692,0.009231604670105975,0.002756990941315429,-0.00441426146010182,-0.01121372031662271,0.001976284584980448
2022-06-02,-0.0012582133370613313,-0.01940035273368601,-0.00384876613085805,-0.010736196319018232,0.003569607343192338,0.0,-0.012021857923497414,-0.0025284450063212116,-0.0028395646000946018,-0.02857142857142858,0.004545454545454408,-0.019443110897743532,-0.0012674271229403677,0.008928571428571397,0.01626429479034308,0.012903225806451646,-0.017756732761171956,-0.025558245897228993,-0.008641005498821741,-0.003012733060481998,-0.004669779853235467,0.0039447731755424265
2022-06-06,0.0011198208286673506,0.001284686536485058,0.005909090909090864,-0.008268733850129162,0.014227642276422925,-0.0060975609756097615,0.0,-0.0038022813688212143,0.008068343616516316,-0.024183006535947738,0.00452488687782826,0.016034271725826166,-0.0076142131979695105,0.025368731563421898,-0.1,-0.0023885350318472165,0.025308827960229152,-0.027885146327995547,-0.006735340729001504,0.03181481270311881,0.023123324396782774,-0.0019646365422396617
