rebalance_date,CSN_600519,CSN_600036,CSN_601318,CSN_601166,CSN_600030,CSN_601328,CSN_600887,CSN_600000,CSN_601601,CSN_600048,CSN_600028,CSN_600309,CSN_601186,CSN_600031,CSN_601012,CSN_601628,CSN_601088,CSN_600585,CSN_600690,CSN_601888,CSN_600276,CSN_601766,MV_600519,MV_600036,MV_601318,MV_601166,MV_600030,MV_601328,MV_600887,MV_600000,MV_601601,MV_600048,MV_600028,MV_600309,MV_601186,MV_600031,MV_601012,MV_601628,MV_601088,MV_600585,MV_600690,MV_601888,MV_600276,MV_601766,EW_600519,EW_600036,EW_601318,EW_601166,EW_600030,EW_601328,EW_600887,EW_600000,EW_601601,EW_600048,EW_600028,EW_600309,EW_601186,EW_600031,EW_601012,EW_601628,EW_601088,EW_600585,EW_600690,EW_601888,EW_600276,EW_601766
2022-06-30,0.035132244299733634,0.042913106289572,0.029997296172451105,0.03076963028195554,0.02998868308812911,0.028249392510537354,0.02775327891766726,0.02667867602337946,0.028064066274200584,0.03268808443384223,0.030466976888806646,0.04222710709988241,0.030996938886649023,0.03977518340530226,0.04093521026545495,0.04391846932422823,0.040736628095696184,0.0356193693848668,0.04891664796608138,0.27075589216757295,0.032478142735816486,0.03093897548817438,0.0,3.780055024812462e-16,4.649617322375996e-16,0.0,1.060442060440093e-16,0.0,0.0,2.2617558878568295e-16,0.0,2.2608409857508776e-16,3.63444667810258e-17,0.0,0.0,2.445288236961645e-16,1.2967566103647038e-16,0.0,0.0,1.2697491174908752e-16,4.822531263215512e-16,0.9999999999999974,1.4966360372675152e-16,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
2022-07-31,0.03302766462680746,0.04640515188427378,0.03446468397730073,0.045415039053677525,0.028324643148575558,0.028573766375623023,0.02497337677738793,0.03340557289201329,0.04066299681546123,0.042756674408974,0.026956410383651385,0.050755742320677866,0.038783362641508966,0.04435012400656973,0.06325140714962513,0.05818522708513396,0.05140792589459495,0.06598649191376965,0.03285318375361491,0.11536654999870898,0.07070618100994136,0.02338782388210865,2.810133418262238e-16,4.3065845023529775e-16,5.525352905445931e-16,0.0,1.446149170636362e-16,0.0,0.0,1.1471858137987823e-16,0.0,0.0,0.0,1.4560257334983068e-16,1.2486475434665677e-16,0.0,0.0,0.0,0.0,1.5023985633697796e-16,1.2709998684760127e-16,0.07878950644153489,0.9212104935584631,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
2022-08-31,0.03299116819260322,0.03611548613399778,0.028891805960531564,0.05252387078884906,0.042536122366613804,0.025706882181510685,0.02657224357342105,0.026381503857536914,0.02850753449459656,0.0561468876836442,0.023438692943259187,0.03891398589944129,0.030444528044665173,0.042882037498652506,0.08159511639398047,0.09875438834533942,0.059278764812641056,0.051573014807653896,0.03685176801297011,0.07692960192686737,0.08039283337576715,0.02257176270545768,0.0,3.3123045971349797e-16,0.0,3.176764036887838e-16,1.5627392154431228e-16,0.0,1.879634618466608e-16,1.6833081284876457e-16,2.479058494679135e-16,0.0,1.1116322130733202e-16,0.0,1.2982437088317843e-16,2.1744119028814764e-16,6.439472220875737e-17,0.9999999999999973,0.0,6.225957731373456e-17,2.410706122570245e-16,0.0,3.88578058618804e-16,7.0185373807616e-17,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
2022-09-30,0.02690460458136238,0.05519834454063095,0.03122146298442039,0.04138693733335428,0.046198200889087396,0.027653030405261046,0.03506316594875991,0.02491679371059176,0.029066232954759796,0.06368537445617202,0.05075239893594464,0.04329491970494188,0.030550729655633754,0.08118610181849907,0.07207618768600117,0.06408821501269815,0.06585544640498148,0.04273891417541314,0.031350205516341254,0.04294156369039476,0.05737035515168028,0.03650081444307033,7.855416329453116e-18,0.0,0.0,0.0,2.3518988485416383e-16,3.8699030768752727e-16,3.921766758213958e-17,0.0,4.926902648760544e-17,0.22073466764933716,0.7061028451294304,6.450352828204768e-17,1.518158075575055e-16,0.0,7.07756850448599e-16,0.07316248722123017,4.939049753193178e-16,0.0,0.0,2.487261170441111e-16,7.021547627353925e-17,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
2022-10-31,0.05589495767284415,0.04548272296320051,0.028926047505070565,0.03041978764599364,0.0326194753378336,0.034107407107414396,0.054180171850220595,0.030020008434210554,0.036989894896501674,0.0393870828123882,0.04150712147988269,0.06403441002103032,0.035538904394475754,0.048174033932339454,0.04603156097071093,0.060524224780059754,0.05675429345056431,0.04898382217297977,0.0392848395111531,0.043901448920842696,0.09223787165566734,0.034999912484615786,2.679746057814636e-16,3.0478141818269175e-16,0.0,0.0,2.314631049677504e-16,4.964315723296813e-16,0.0,0.0,1.0982795280848482e-16,0.0,3.8510861166685034e-16,5.2226166248841235e-16,2.156244194251455e-17,0.0,0.0,4.562669404208209e-16,0.0,1.9008687318214838e-16,4.3092427018384475e-17,0.0,0.9999999999999969,6.070211301971439e-17,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
2022-11-30,0.04833835744077894,0.046935973579834325,0.04329507201836887,0.03722752629925929,0.032566554407350366,0.023707655455162933,0.09679931004536883,0.025465126696554843,0.053220999051144934,0.05557747443318983,0.03114135801008858,0.03277568351544331,0.036069178489006086,0.03976826259404974,0.058493162160069744,0.08115630698123563,0.036707522715590586,0.0455137396820157,0.03148761764317322,0.04706129335197705,0.0649372657493204,0.031754559681016696,4.516865892266165e-16,4.857207154353988e-16,1.8479680586224348e-16,4.0758611919386643e-16,0.0,5.1109147679094844e-17,5.717322024178211e-16,9.327602577683849e-17,0.0,2.0513586845335982e-16,0.0,1.8775908238015232e-16,0.0,2.849493591033552e-16,4.134265573528958e-16,0.7147704444434999,1.5968792758718744e-16,8.974324911891359e-17,9.218016340210317e-17,1.0469106315516328e-16,0.2852295555564963,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
2022-12-31,0.05125401776661122,0.04914779815245184,0.04268347255502879,0.03108325849552081,0.03725235549542726,0.024169694225613075,0.05084230768678867,0.023744571504756947,0.07594197031552412,0.06526943695338763,0.025249824559061513,0.0340065935896474,0.042507248275779515,0.04982307484075515,0.07113112690856456,0.06149285128177874,0.055879308472963365,0.04315052270465095,0.0334141603423255,0.060400357244963856,0.039559460941586244,0.0319965876868128,0.0,2.532813496762067e-16,2.590617720678043e-16,0.0,7.740550121744193e-16,0.0,0.0,0.0,0.9999999999999973,0.0,0.0,0.0,4.865127571725424e-16,5.788469992977633e-16,0.0,0.0,0.0,0.0,0.0,2.961000628421449e-17,4.819076974570806e-16,2.1510581073424938e-17,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
2023-01-31,0.05332192657454009,0.09818193490748875,0.05827201349142633,0.029717088008645996,0.03181909969493146,0.02207576621879615,0.0401024612354861,0.026321893104863926,0.08220506432717722,0.05776860171361881,0.02688370526298964,0.028237361679794945,0.04467766101710211,0.04329398433374771,0.05212135905363939,0.052368269071801546,0.05244040182250374,0.032733920772194086,0.03425729078903155,0.06463700441912947,0.03917591813367422,0.029387274367416522,0.0,0.9999999999999976,9.648971405664825e-16,1.3058288236026852e-17,1.5853234549707544e-16,4.471998940672666e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.384908688302227e-17,0.0,0.0,0.0,9.129810891867993e-16,0.0,4.854923712494448e-17,0.0,5.5143296149981576e-17,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
2023-02-28,0.05440056260704629,0.05699730425066523,0.037492997767038974,0.040819105159092546,0.033995634036762486,0.022113815703861606,0.03728809268008976,0.023380319071112,0.06826039627865833,0.09524819995083886,0.03047364606951711,0.06213336518401136,0.04361548947858873,0.07469239626731138,0.04433116418111328,0.037267290790852295,0.04192380334794811,0.03429906242129423,0.04041131269613211,0.040909498783534365,0.04672351297401929,0.0332230303005117,2.093491806813474e-16,0.0,0.0,2.315965547160056e-16,1.401523699469077e-16,0.0,0.0,0.0,0.0,1.344704966654886e-16,2.407579833537531e-16,0.5213818820824279,0.0,0.47861811791757103,1.185230527514153e-16,1.0988430882247948e-16,0.0,0.0,0.0,9.436169793227235e-17,8.746472933031527e-18,4.1502736270963525e-17,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
2023-03-31,0.03467692577909286,0.04425484179672978,0.028019122944763487,0.020151531865693843,0.024121399704762462,0.020747808554448122,0.03542703439722457,0.017343543469563367,0.04787567359662217,0.03223861843834045,0.14698731700808118,0.028024500499491983,0.06862711973051144,0.08298256431982663,0.02944085437490506,0.04899530855590195,0.025341554096254822,0.02285614824952289,0.04229465976305559,0.07370314832361338,0.05651746614436364,0.06937285838723038,0.0,9.740243439521304e-17,0.0,0.0,0.0,5.786778402544129e-16,3.610804027436871e-16,3.1482942308094506e-17,0.0,2.143859102992843e-16,0.9999999999999974,1.4393388198264327e-16,3.4969434142547494e-16,4.883017706786256e-17,0.0,3.3388610260210315e-16,0.0,8.699409353935222e-17,7.560803222114007e-17,1.5638303257842435e-16,2.143859102992843e-16,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
