rebalance_date,accept_rate_mean,rhat_mean,ess_mean,csn_herfindahl,mv_herfindahl
2022-04-30,0.9383333333333334,1.001,100.0,0.03403407293452481,0.6047936669830818
2022-05-31,0.925,1.001,100.0,0.03380246310728746,0.9999999999999893
2022-06-30,0.905,1.001,100.0,0.033822306905064596,0.503324832814303
2022-07-31,0.9616666666666667,1.001,100.0,0.033760262445654186,0.9999999999999887
2022-08-31,0.9416666666666667,1.001,100.0,0.03361921971609515,0.9999999999999893
2022-09-30,0.9383333333333334,1.001,100.0,0.03382071738490419,0.5001612702255037
2022-10-31,0.955,1.001,100.0,0.03369290853680519,0.999999999999988
2022-11-30,0.9366666666666666,1.001,100.0,0.03395992051855859,0.9999999999999922
2022-12-31,0.9566666666666667,1.001,100.0,0.03355401389799965,0.7601478807299661
2023-01-31,0.9566666666666667,1.001,100.0,0.0336198613214876,0.5761704484610378
2023-02-28,0.9216666666666666,1.001,100.0,0.033817967604959386,0.9999999999999938
2023-03-31,0.9633333333333334,1.001,100.0,0.03377855134965018,0.9999999999999925
2023-04-30,0.9483333333333334,1.001,100.0,0.03408776868196424,0.5336269224788197
2023-05-31,0.95,1.001,100.0,0.0336285467562947,0.4650855450069533
2023-06-30,0.96,1.001,100.0,0.03351699643842846,0.710213859223151
2023-07-31,0.9483333333333334,1.001,100.0,0.03363313273544671,0.9999999999999916
2023-08-31,0.9316666666666666,1.001,100.0,0.033745860474268946,0.9999999999999911
2023-09-30,0.9083333333333333,1.001,100.0,0.034053639670410724,0.8459417027416051
2023-10-31,0.8633333333333333,1.001,100.0,0.034898578084688436,0.34555272581636703
2023-11-30,0.9116666666666666,1.001,100.0,0.034195438425960144,0.6400647726118738
2023-12-31,0.9566666666666667,1.001,100.0,0.033582614669510846,0.3582697822455006
2024-01-31,0.9666666666666667,1.001,100.0,0.0336786526892229,0.9999999999999871
2024-02-29,0.9466666666666667,1.001,100.0,0.03388392884290721,0.9999999999999898
2024-03-31,0.9683333333333334,1.001,100.0,0.03353421229107791,0.6613546996074404
2024-04-30,0.95,1.001,100.0,0.03385021044936033,0.9999999999999918
2024-05-31,0.945,1.001,100.0,0.03369423793382859,0.43607390401453583
2024-06-30,0.9483333333333334,1.001,100.0,0.033699943501924845,0.5142695202411831
2024-07-31,0.9733333333333334,1.001,100.0,0.0336887174615157,0.3559095300349827
2024-08-31,0.935,1.001,100.0,0.03398754258664796,0.6375750568950487
2024-09-30,0.945,1.001,100.0,0.03374856737899618,0.3515586657525591
2024-10-31,0.9516666666666667,1.001,100.0,0.03358883298295907,0.7811128997591865
2024-11-30,0.9666666666666667,1.001,100.0,0.03362538157096905,0.5000994676893527
