rebalance_date,accept_rate_mean,final_step_size,rhat_mean,ess_mean,csn_herfindahl,mv_herfindahl
2022-04-30,0.9266666666666666,5.0,1.001,100.0,0.03409196249854345,0.6047936669830853
2022-05-31,0.9283333333333333,5.0,1.001,100.0,0.03389835763755384,0.9999999999999878
2022-06-30,0.93,5.0,1.001,100.0,0.033782919947122035,0.5033248328143134
2022-07-31,0.9633333333333334,5.0,1.001,100.0,0.03373242924987705,0.9999999999999827
2022-08-31,0.925,5.0,1.001,100.0,0.03363520061941235,0.9999999999999791
2022-09-30,0.935,5.0,1.001,100.0,0.033829430738213435,0.5001612702254954
2022-10-31,0.9566666666666667,5.0,1.001,100.0,0.033630091297979225,0.9999999999999885
2022-11-30,0.9516666666666667,5.0,1.001,100.0,0.03388780442381616,0.9999999999999956
2022-12-31,0.9516666666666667,5.0,1.001,100.0,0.03359228558857857,0.7601478807299529
2023-01-31,0.9566666666666667,5.0,1.001,100.0,0.03362406231743081,0.5761704484610337
2023-02-28,0.945,5.0,1.001,100.0,0.03376210015746469,0.9999999999999876
2023-03-31,0.9466666666666667,5.0,1.001,100.0,0.033653432630334754,0.9999999999999925
2023-04-30,0.94,5.0,1.001,100.0,0.03404402949398247,0.5336269224788218
2023-05-31,0.9466666666666667,5.0,1.001,100.0,0.033763361973334134,0.4650855450069525
2023-06-30,0.9583333333333334,5.0,1.001,100.0,0.033583395873910404,0.7102138592231536
2023-07-31,0.9483333333333334,5.0,1.001,100.0,0.033779482122360836,0.9999999999999916
2023-08-31,0.9233333333333333,5.0,1.001,100.0,0.033807859327284404,0.9999999999999831
2023-09-30,0.9016666666666666,5.0,1.001,100.0,0.03423416354309363,0.8459417027415966
2023-10-31,0.8566666666666667,5.0,1.001,100.0,0.034828864296625434,0.3455527258163673
2023-11-30,0.9066666666666666,5.0,1.001,100.0,0.03383114188069819,0.6400647726118701
2023-12-31,0.95,5.0,1.001,100.0,0.03367958635851647,0.3582697822454955
2024-01-31,0.9683333333333334,5.0,1.001,100.0,0.033589154842336155,0.9999999999999885
2024-02-29,0.9416666666666667,5.0,1.001,100.0,0.03394523016975953,0.9999999999999933
2024-03-31,0.975,5.0,1.001,100.0,0.033521476758988755,0.6613546996074431
2024-04-30,0.94,5.0,1.001,100.0,0.033822216492700515,0.9999999999999929
2024-05-31,0.95,5.0,1.001,100.0,0.03377492385884178,0.4360739040145298
2024-06-30,0.9533333333333334,5.0,1.001,100.0,0.03354893889613982,0.5142695202411807
2024-07-31,0.9683333333333334,5.0,1.001,100.0,0.033628158463849166,0.35590953003498416
2024-08-31,0.9266666666666666,5.0,1.001,100.0,0.03388455474118978,0.6375750568950528
2024-09-30,0.9616666666666667,5.0,1.001,100.0,0.034022747742507395,0.35155866575255706
2024-10-31,0.9466666666666667,5.0,1.001,100.0,0.03371246284922805,0.7811128997592028
2024-11-30,0.9766666666666667,5.0,1.001,100.0,0.033592765001667864,0.5000994676893544
