,年化收益率,年化波动率,年化夏普,年化索提诺,最大回撤,卡玛比率,期末净值,年化换手率(%)
CSN-HMC,0.22441289966505315,0.20847134068458872,0.9565482669945243,1.8449377553108925,-0.21931818558989613,1.0232297839846425,1.5921499876131433,172.71724587404094
MV,0.32549175421161103,0.36933009508080233,0.8136129662895559,1.5840532933944822,-0.4882971911260299,0.666585350329409,1.8063359889354336,1001.3343181043367
EW,0.18037772345084258,0.16694001453240362,0.9307398461134566,1.7876726690681346,-0.11000710166488292,1.6396916264581831,1.4650376081144914,0.0
